GameName,Category,FullPath,SizeBytes
Sonic The Hedgehog 4 - Episode 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 4 - Episode 2 (XBLA),434384896
Spyglass Board Games (XBLA),XBLA,G:\___ XBLA Games ___\Spyglass Board Games (XBLA),47378432
State of Decay (XBLA),XBLA,G:\___ XBLA Games ___\State of Decay (XBLA),1945509888
Street Fighter III - Third Strike - Online Edition (XBLA),XBLA,G:\___ XBLA Games ___\Street Fighter III - Third Strike - Online Edition (XBLA),736362496
Streets of Rage 2 (XBLA),XBLA,G:\___ XBLA Games ___\Streets of Rage 2 (XBLA),28909568
Super Contra (XBLA),XBLA,G:\___ XBLA Games ___\Super Contra (XBLA),45260800
Super Meat Boy (XBLA),XBLA,G:\___ XBLA Games ___\Super Meat Boy (XBLA),113741824
Teenage Mutant Ninja Turtles - 1989 Classic Arcade (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - 1989 Classic Arcade (XBLA),46206976
Teenage Mutant Ninja Turtles - Out of the Shadows (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - Out of the Shadows (XBLA),1916157952
Teenage Mutant Ninja Turtles - Training Lair (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - Training Lair (XBLA),158416896
Teenage Mutant Ninja Turtles - Turtles in Time Re-Shelled (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - Turtles in Time Re-Shelled (XBLA),278016000
The Wolf Among Us E1 (XBLA),XBLA,G:\___ XBLA Games ___\The Wolf Among Us E1 (XBLA),924659933
The Wolf Among Us E2 (XBLA),XBLA,G:\___ XBLA Games ___\The Wolf Among Us E2 (XBLA),675373277
The Wolf Among Us E3 (XBLA),XBLA,G:\___ XBLA Games ___\The Wolf Among Us E3 (XBLA),688946690
Torchlight (XBLA),XBLA,G:\___ XBLA Games ___\Torchlight (XBLA),206135296
Trials Fusion (XBLA),XBLA,G:\___ XBLA Games ___\Trials Fusion (XBLA),1632141312
Truck Racer (XBLA),XBLA,G:\___ XBLA Games ___\Truck Racer (XBLA),1090162688
Ultimate Mortal Kombat 3 (XBLA),XBLA,G:\___ XBLA Games ___\Ultimate Mortal Kombat 3 (XBLA),45686784
UNO Rush (XBLA),XBLA,G:\___ XBLA Games ___\UNO Rush (XBLA),70500352
Valiant Hearts - The Great War (XBLA),XBLA,G:\___ XBLA Games ___\Valiant Hearts - The Great War (XBLA),1340801024
War of the Worlds The (XBLA),XBLA,G:\___ XBLA Games ___\War of the Worlds The (XBLA),1573617664
Way of the Dogg (XBLA),XBLA,G:\___ XBLA Games ___\Way of the Dogg (XBLA),853647360
Wolfenstein 3D (XBLA),XBLA,G:\___ XBLA Games ___\Wolfenstein 3D (XBLA),206274560
Wolfenstein 3D - Stackable (XBLA),XBLA,G:\___ XBLA Games ___\Wolfenstein 3D - Stackable (XBLA),35680256
Worms (XBLA),XBLA,G:\___ XBLA Games ___\Worms (XBLA),44298240
Worms - Ultimate Mayhem (XBLA),XBLA,G:\___ XBLA Games ___\Worms - Ultimate Mayhem (XBLA),871895040
Worms 2 - Armageddon (XBLA),XBLA,G:\___ XBLA Games ___\Worms 2 - Armageddon (XBLA),184967168
Worms Revolution (XBLA),XBLA,G:\___ XBLA Games ___\Worms Revolution (XBLA),500719616
007 - Blood Stone,1DVD,G:\___ One-DVD READY GAMES ___\007 - Blood Stone,7046800382
007 Legends,1DVD,G:\___ One-DVD READY GAMES ___\007 Legends,8201883744
50.Cent.Blood.On.The.Sand,1DVD,G:\___ One-DVD READY GAMES ___\50.Cent.Blood.On.The.Sand,6787197768
Ace.Combat.6.PAL,1DVD,G:\___ One-DVD READY GAMES ___\Ace.Combat.6.PAL,5086824940
Ace.Combat.Assault.Horizon,1DVD,G:\___ One-DVD READY GAMES ___\Ace.Combat.Assault.Horizon,8211503011
Adrenalin Misfits (USA),1DVD,G:\___ One-DVD READY GAMES ___\Adrenalin Misfits (USA),3488869235
Adventure.Time.The.Secret.of.the.Nameless.Kingdom,1DVD,G:\___ One-DVD READY GAMES ___\Adventure.Time.The.Secret.of.the.Nameless.Kingdom,341873598
Air.Conflicts.Secret.Wars,1DVD,G:\___ One-DVD READY GAMES ___\Air.Conflicts.Secret.Wars,2589142907
Air.Conflicts.Vietnam,1DVD,G:\___ One-DVD READY GAMES ___\Air.Conflicts.Vietnam,3582006610
Alan.Wake.XBOX360.iMARS,1DVD,G:\___ One-DVD READY GAMES ___\Alan.Wake.XBOX360.iMARS,6650433471
Alice.Madness.Returns,1DVD,G:\___ One-DVD READY GAMES ___\Alice.Madness.Returns,4755875059
Alien Breed Trilogy (Europe) (EnDe),1DVD,G:\___ One-DVD READY GAMES ___\Alien Breed Trilogy (Europe) (EnDe),1649356246
Alien.Vs.Predator,1DVD,G:\___ One-DVD READY GAMES ___\Alien.Vs.Predator,6530419440
Aliens.Colonial.Marines,1DVD,G:\___ One-DVD READY GAMES ___\Aliens.Colonial.Marines,6732372620
Alone.in.the.Dark,1DVD,G:\___ One-DVD READY GAMES ___\Alone.in.the.Dark,6889220436
Alpha.Protocol,1DVD,G:\___ One-DVD READY GAMES ___\Alpha.Protocol,6231495156
Alvin.and.the.Chipmunks.Chipwrecked,1DVD,G:\___ One-DVD READY GAMES ___\Alvin.and.the.Chipmunks.Chipwrecked,1087385790
Angry Birds Trilogy,1DVD,G:\___ One-DVD READY GAMES ___\Angry Birds Trilogy,1314695397
Angry.Birds.Star.Wars,1DVD,G:\___ One-DVD READY GAMES ___\Angry.Birds.Star.Wars,1368584573
Apache.Air.Assault,1DVD,G:\___ One-DVD READY GAMES ___\Apache.Air.Assault,1471134621
Arcania.The.Complete.Tale,1DVD,G:\___ One-DVD READY GAMES ___\Arcania.The.Complete.Tale,7980036738
Armored.Core.V,1DVD,G:\___ One-DVD READY GAMES ___\Armored.Core.V,3554772094
Army.Of.Two,1DVD,G:\___ One-DVD READY GAMES ___\Army.Of.Two,5345252997
Army.Of.Two.The.40th.Day,1DVD,G:\___ One-DVD READY GAMES ___\Army.Of.Two.The.40th.Day,6450587842
Army.of.Two.The.Devils.Cartel,1DVD,G:\___ One-DVD READY GAMES ___\Army.of.Two.The.Devils.Cartel,7738162567
Assasins.Creed.Brotherhood,1DVD,G:\___ One-DVD READY GAMES ___\Assasins.Creed.Brotherhood,6930067587
Assassins Creed,1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed,7004522516
Assassins Creed - Revelations (USA Europe) (EnFrDeEsItNlPtSvNoDa),1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed - Revelations (USA Europe) (EnFrDeEsItNlPtSvNoDa),7865348993
Assassins Creed Rogue [RF],1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed Rogue [RF],6449680459
Assassins Creed_2007,1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed_2007,7004522516
Assassins.Creed.2,1DVD,G:\___ One-DVD READY GAMES ___\Assassins.Creed.2,5779919973
Assassins.Creed.Revelations_complex,1DVD,G:\___ One-DVD READY GAMES ___\Assassins.Creed.Revelations_complex,7865348993
Asterix at the Olympic Games (Canada),1DVD,G:\___ One-DVD READY GAMES ___\Asterix at the Olympic Games (Canada),6356542263
Asuras Wrath (World),1DVD,G:\___ One-DVD READY GAMES ___\Asuras Wrath (World),6520903901
Batman.Arkham.Asylum.GOTY,1DVD,G:\___ One-DVD READY GAMES ___\Batman.Arkham.Asylum.GOTY,7120227032
Batman.Arkham.City,1DVD,G:\___ One-DVD READY GAMES ___\Batman.Arkham.City,8170715920
Batman.The.Telltale.Series,1DVD,G:\___ One-DVD READY GAMES ___\Batman.The.Telltale.Series,751370240
Battle vs. Chess (Europe),1DVD,G:\___ One-DVD READY GAMES ___\Battle vs. Chess (Europe),1158356038
Battlefield - Bad Company 2 (USA) (EnFr) (Limited Edition),1DVD,G:\___ One-DVD READY GAMES ___\Battlefield - Bad Company 2 (USA) (EnFr) (Limited Edition),5203465255
Battlefield 2 - Modern Combat (USA),1DVD,G:\___ One-DVD READY GAMES ___\Battlefield 2 - Modern Combat (USA),6794455218
Battlefield.Bad.Company,1DVD,G:\___ One-DVD READY GAMES ___\Battlefield.Bad.Company,6604325984
Battlefield.Hardline,1DVD,G:\___ One-DVD READY GAMES ___\Battlefield.Hardline,7648823772
