GameName,Category,FullPath
Truck Racer (XBLA),XBLA,G:\___ XBLA Games ___\Truck Racer (XBLA)
Ultimate Mortal Kombat 3 (XBLA),XBLA,G:\___ XBLA Games ___\Ultimate Mortal Kombat 3 (XBLA)
UNO Rush (XBLA),XBLA,G:\___ XBLA Games ___\UNO Rush (XBLA)
Valiant Hearts - The Great War (XBLA),XBLA,G:\___ XBLA Games ___\Valiant Hearts - The Great War (XBLA)
War of the Worlds The (XBLA),XBLA,G:\___ XBLA Games ___\War of the Worlds The (XBLA)
Way of the Dogg (XBLA),XBLA,G:\___ XBLA Games ___\Way of the Dogg (XBLA)
Wolfenstein 3D (XBLA),XBLA,G:\___ XBLA Games ___\Wolfenstein 3D (XBLA)
Wolfenstein 3D - Stackable (XBLA),XBLA,G:\___ XBLA Games ___\Wolfenstein 3D - Stackable (XBLA)
Worms (XBLA),XBLA,G:\___ XBLA Games ___\Worms (XBLA)
Worms - Ultimate Mayhem (XBLA),XBLA,G:\___ XBLA Games ___\Worms - Ultimate Mayhem (XBLA)
Worms 2 - Armageddon (XBLA),XBLA,G:\___ XBLA Games ___\Worms 2 - Armageddon (XBLA)
Worms Revolution (XBLA),XBLA,G:\___ XBLA Games ___\Worms Revolution (XBLA)
007 - Blood Stone,1DVD,G:\___ One-DVD READY GAMES ___\007 - Blood Stone
007 Legends,1DVD,G:\___ One-DVD READY GAMES ___\007 Legends
50.Cent.Blood.On.The.Sand,1DVD,G:\___ One-DVD READY GAMES ___\50.Cent.Blood.On.The.Sand
Ace.Combat.6.PAL,1DVD,G:\___ One-DVD READY GAMES ___\Ace.Combat.6.PAL
Ace.Combat.Assault.Horizon,1DVD,G:\___ One-DVD READY GAMES ___\Ace.Combat.Assault.Horizon
Adrenalin Misfits (USA),1DVD,G:\___ One-DVD READY GAMES ___\Adrenalin Misfits (USA)
Adventure.Time.The.Secret.of.the.Nameless.Kingdom,1DVD,G:\___ One-DVD READY GAMES ___\Adventure.Time.The.Secret.of.the.Nameless.Kingdom
Air.Conflicts.Secret.Wars,1DVD,G:\___ One-DVD READY GAMES ___\Air.Conflicts.Secret.Wars
Air.Conflicts.Vietnam,1DVD,G:\___ One-DVD READY GAMES ___\Air.Conflicts.Vietnam
Alan.Wake.XBOX360.iMARS,1DVD,G:\___ One-DVD READY GAMES ___\Alan.Wake.XBOX360.iMARS
Alice.Madness.Returns,1DVD,G:\___ One-DVD READY GAMES ___\Alice.Madness.Returns
Alien Breed Trilogy (Europe) (EnDe),1DVD,G:\___ One-DVD READY GAMES ___\Alien Breed Trilogy (Europe) (EnDe)
Alien.Vs.Predator,1DVD,G:\___ One-DVD READY GAMES ___\Alien.Vs.Predator
Aliens.Colonial.Marines,1DVD,G:\___ One-DVD READY GAMES ___\Aliens.Colonial.Marines
Alone.in.the.Dark,1DVD,G:\___ One-DVD READY GAMES ___\Alone.in.the.Dark
Alpha.Protocol,1DVD,G:\___ One-DVD READY GAMES ___\Alpha.Protocol
Alvin.and.the.Chipmunks.Chipwrecked,1DVD,G:\___ One-DVD READY GAMES ___\Alvin.and.the.Chipmunks.Chipwrecked
Angry Birds Trilogy,1DVD,G:\___ One-DVD READY GAMES ___\Angry Birds Trilogy
Angry.Birds.Star.Wars,1DVD,G:\___ One-DVD READY GAMES ___\Angry.Birds.Star.Wars
Apache.Air.Assault,1DVD,G:\___ One-DVD READY GAMES ___\Apache.Air.Assault
Arcania.The.Complete.Tale,1DVD,G:\___ One-DVD READY GAMES ___\Arcania.The.Complete.Tale
Armored.Core.V,1DVD,G:\___ One-DVD READY GAMES ___\Armored.Core.V
Army.Of.Two,1DVD,G:\___ One-DVD READY GAMES ___\Army.Of.Two
Army.Of.Two.The.40th.Day,1DVD,G:\___ One-DVD READY GAMES ___\Army.Of.Two.The.40th.Day
Army.of.Two.The.Devils.Cartel,1DVD,G:\___ One-DVD READY GAMES ___\Army.of.Two.The.Devils.Cartel
Assasins.Creed.Brotherhood,1DVD,G:\___ One-DVD READY GAMES ___\Assasins.Creed.Brotherhood
Assassins Creed,1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed
Assassins Creed - Revelations (USA Europe) (EnFrDeEsItNlPtSvNoDa),1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed - Revelations (USA Europe) (EnFrDeEsItNlPtSvNoDa)
Assassins Creed Rogue [RF],1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed Rogue [RF]
Assassins Creed_2007,1DVD,G:\___ One-DVD READY GAMES ___\Assassins Creed_2007
Assassins.Creed.2,1DVD,G:\___ One-DVD READY GAMES ___\Assassins.Creed.2
Assassins.Creed.Revelations_complex,1DVD,G:\___ One-DVD READY GAMES ___\Assassins.Creed.Revelations_complex
Asterix at the Olympic Games (Canada),1DVD,G:\___ One-DVD READY GAMES ___\Asterix at the Olympic Games (Canada)
Asuras Wrath (World),1DVD,G:\___ One-DVD READY GAMES ___\Asuras Wrath (World)
Batman.Arkham.Asylum.GOTY,1DVD,G:\___ One-DVD READY GAMES ___\Batman.Arkham.Asylum.GOTY
Batman.Arkham.City,1DVD,G:\___ One-DVD READY GAMES ___\Batman.Arkham.City
Batman.The.Telltale.Series,1DVD,G:\___ One-DVD READY GAMES ___\Batman.The.Telltale.Series
Battle vs. Chess (Europe),1DVD,G:\___ One-DVD READY GAMES ___\Battle vs. Chess (Europe)
Battlefield - Bad Company 2 (USA) (EnFr) (Limited Edition),1DVD,G:\___ One-DVD READY GAMES ___\Battlefield - Bad Company 2 (USA) (EnFr) (Limited Edition)
Battlefield 2 - Modern Combat (USA),1DVD,G:\___ One-DVD READY GAMES ___\Battlefield 2 - Modern Combat (USA)
Battlefield.Bad.Company,1DVD,G:\___ One-DVD READY GAMES ___\Battlefield.Bad.Company
Battlefield.Hardline,1DVD,G:\___ One-DVD READY GAMES ___\Battlefield.Hardline
Battleship,1DVD,G:\___ One-DVD READY GAMES ___\Battleship
Ben.10.Galactic.Racing,1DVD,G:\___ One-DVD READY GAMES ___\Ben.10.Galactic.Racing
Ben.10.Omniverse,1DVD,G:\___ One-DVD READY GAMES ___\Ben.10.Omniverse
Ben.10.Omniverse.2,1DVD,G:\___ One-DVD READY GAMES ___\Ben.10.Omniverse.2
Ben.10.Ultimate.Alien.Cosmic.Destruction,1DVD,G:\___ One-DVD READY GAMES ___\Ben.10.Ultimate.Alien.Cosmic.Destruction
Binary.Domain,1DVD,G:\___ One-DVD READY GAMES ___\Binary.Domain
Bionic.Commando,1DVD,G:\___ One-DVD READY GAMES ___\Bionic.Commando
BioShock - Ultimate Rapture Edition (USA) (BioShock - Bonus Content),1DVD,G:\___ One-DVD READY GAMES ___\BioShock - Ultimate Rapture Edition (USA) (BioShock - Bonus Content)
BioShock - Ultimate Rapture Edition (USA) (BioShock 2 - Bonus Content),1DVD,G:\___ One-DVD READY GAMES ___\BioShock - Ultimate Rapture Edition (USA) (BioShock 2 - Bonus Content)
BioShock 2 (World) (EnFrEs) (Beta) (2009-11-30),1DVD,G:\___ One-DVD READY GAMES ___\BioShock 2 (World) (EnFrEs) (Beta) (2009-11-30)
BioShock Infinite - The Complete Edition - Bonus Content Disc (USA),1DVD,G:\___ One-DVD READY GAMES ___\BioShock Infinite - The Complete Edition - Bonus Content Disc (USA)
BlackSite.Area.51,1DVD,G:\___ One-DVD READY GAMES ___\BlackSite.Area.51
Blood Bowl (USA) (EnFrEs),1DVD,G:\___ One-DVD READY GAMES ___\Blood Bowl (USA) (EnFrEs)
Blood.Drive.XBOX360.CCCLX,1DVD,G:\___ One-DVD READY GAMES ___\Blood.Drive.XBOX360.CCCLX
Blur.XBOX360-MARVEL,1DVD,G:\___ One-DVD READY GAMES ___\Blur.XBOX360-MARVEL
Body.Count.XBOX360.MARVEL,1DVD,G:\___ One-DVD READY GAMES ___\Body.Count.XBOX360.MARVEL
Borderlands.GOTY,1DVD,G:\___ One-DVD READY GAMES ___\Borderlands.GOTY
Borderlands.The.Pre.Sequel,1DVD,G:\___ One-DVD READY GAMES ___\Borderlands.The.Pre.Sequel
Bound.by.Flame.SPARE,1DVD,G:\___ One-DVD READY GAMES ___\Bound.by.Flame.SPARE
Brink,1DVD,G:\___ One-DVD READY GAMES ___\Brink
Brothers.in.Arms.Hells.Highway,1DVD,G:\___ One-DVD READY GAMES ___\Brothers.in.Arms.Hells.Highway
Brunswick.Pro.Bowling,1DVD,G:\___ One-DVD READY GAMES ___\Brunswick.Pro.Bowling
Brutal.Legend,1DVD,G:\___ One-DVD READY GAMES ___\Brutal.Legend
BulletStorm,1DVD,G:\___ One-DVD READY GAMES ___\BulletStorm
Bully - Scholarship Edition (USA) (EnFrDeEsIt),1DVD,G:\___ One-DVD READY GAMES ___\Bully - Scholarship Edition (USA) (EnFrDeEsIt)
Burnout.Paradise.The.Ultimate.Box,1DVD,G:\___ One-DVD READY GAMES ___\Burnout.Paradise.The.Ultimate.Box
Call of Duty - Black Ops II (World),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - Black Ops II (World)
Call of Duty - Black Ops III (USA Europe) (EnFrDeEsItPtPlRu),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - Black Ops III (USA Europe) (EnFrDeEsItPtPlRu)
Call of Duty - Modern Warfare 3 (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - Modern Warfare 3 (USA Europe)
Call of Duty - World at War (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - World at War (USA Europe)
Call of Duty 2 (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty 2 (USA Europe)
Call of Duty 3 (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty 3 (USA Europe)
Call Of Duty 4 Modern Warfare,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty 4 Modern Warfare
Call Of Duty Black Ops,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty Black Ops
Call Of Duty Black Ops 2,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty Black Ops 2
Call Of Duty Modern Warfare 3,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty Modern Warfare 3
Call.Of.Duty.Black.Ops.III,1DVD,G:\___ One-DVD READY GAMES ___\Call.Of.Duty.Black.Ops.III
Call.Of.Juarez.Bound.In.Blood,1DVD,G:\___ One-DVD READY GAMES ___\Call.Of.Juarez.Bound.In.Blood
Call.of.Juarez.The.Cartel,1DVD,G:\___ One-DVD READY GAMES ___\Call.of.Juarez.The.Cartel
Call_Of_Duty_World_At_War,1DVD,G:\___ One-DVD READY GAMES ___\Call_Of_Duty_World_At_War
Capcom.Digital.Collection,1DVD,G:\___ One-DVD READY GAMES ___\Capcom.Digital.Collection
Capitan.America.Super.Solder,1DVD,G:\___ One-DVD READY GAMES ___\Capitan.America.Super.Solder
Carrier.Command.Gaea.Mission,1DVD,G:\___ One-DVD READY GAMES ___\Carrier.Command.Gaea.Mission
Cars.2,1DVD,G:\___ One-DVD READY GAMES ___\Cars.2
Cars.3.Driven.to.Win,1DVD,G:\___ One-DVD READY GAMES ___\Cars.3.Driven.to.Win
Cartoon.Network.Punch.Time.Explosion,1DVD,G:\___ One-DVD READY GAMES ___\Cartoon.Network.Punch.Time.Explosion
Castlevania - Lords of Shadow 2 (USA) (EnFrDeEsItPt),1DVD,G:\___ One-DVD READY GAMES ___\Castlevania - Lords of Shadow 2 (USA) (EnFrDeEsItPt)
Child.of.Eden,1DVD,G:\___ One-DVD READY GAMES ___\Child.of.Eden
Chronicles of Narnia The - Prince Caspian (Europe) (EnFrEs),1DVD,G:\___ One-DVD READY GAMES ___\Chronicles of Narnia The - Prince Caspian (Europe) (EnFrEs)
Chronicles.of.Riddick.Assault.on.Dark.Athena,1DVD,G:\___ One-DVD READY GAMES ___\Chronicles.of.Riddick.Assault.on.Dark.Athena
Clash.Of.The.Titans,1DVD,G:\___ One-DVD READY GAMES ___\Clash.Of.The.Titans
Cloudy.With.A.Chance.Of.Meatballs,1DVD,G:\___ One-DVD READY GAMES ___\Cloudy.With.A.Chance.Of.Meatballs
Command.and.Conquer.3.Kanes.Wrath,1DVD,G:\___ One-DVD READY GAMES ___\Command.and.Conquer.3.Kanes.Wrath
Compilation Disc - DJ Hero and Band Hero and Guitar Hero 5 and Guitar Hero - Greatest Hits (Europe),1DVD,G:\___ One-DVD READY GAMES ___\Compilation Disc - DJ Hero and Band Hero and Guitar Hero 5 and Guitar Hero - Greatest Hits (Europe)
Complex Dark,1DVD,G:\___ One-DVD READY GAMES ___\Complex Dark
Condemned.2.Bloodshot,1DVD,G:\___ One-DVD READY GAMES ___\Condemned.2.Bloodshot
Crash - Mind over Mutant (USA) (EnFrDeEsItNlSvNoDaFi),1DVD,G:\___ One-DVD READY GAMES ___\Crash - Mind over Mutant (USA) (EnFrDeEsItNlSvNoDaFi)
Crash of the Titans,1DVD,G:\___ One-DVD READY GAMES ___\Crash of the Titans
Crash.Time.4.The.Syndicate,1DVD,G:\___ One-DVD READY GAMES ___\Crash.Time.4.The.Syndicate
Crysis 2 (World) (EnFr),1DVD,G:\___ One-DVD READY GAMES ___\Crysis 2 (World) (EnFr)
Crysis 3 (USA Europe) (EnFr),1DVD,G:\___ One-DVD READY GAMES ___\Crysis 3 (USA Europe) (EnFr)
Damnation,1DVD,G:\___ One-DVD READY GAMES ___\Damnation
Dantes Inferno,1DVD,G:\___ One-DVD READY GAMES ___\Dantes Inferno
Dark Souls II (World) (EnJaFrDeEsItZhKoPlRu),1DVD,G:\___ One-DVD READY GAMES ___\Dark Souls II (World) (EnJaFrDeEsItZhKoPlRu)
Dark Souls Prepare To Die Edition,1DVD,G:\___ One-DVD READY GAMES ___\Dark Souls Prepare To Die Edition
Darkness The (USA Europe) (EnFrDeEsIt),1DVD,G:\___ One-DVD READY GAMES ___\Darkness The (USA Europe) (EnFrDeEsIt)
Darksiders (USA) (EnFrEs),1DVD,G:\___ One-DVD READY GAMES ___\Darksiders (USA) (EnFrEs)
