GameName	Category	FullPath
Borderlands.The.Pre.Sequel	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Borderlands.The.Pre.Sequel
Bound.by.Flame.SPARE	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Bound.by.Flame.SPARE
Bridge The (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Bridge The (XBLA)
Brink	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Brink
Brothers - A Tale of Two Sons (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Brothers - A Tale of Two Sons (XBLA)
Brothers.in.Arms.Hells.Highway	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Brothers.in.Arms.Hells.Highway
Brunswick.Pro.Bowling	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Brunswick.Pro.Bowling
Brutal.Legend	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Brutal.Legend
BulletStorm	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\BulletStorm
Bully - Scholarship Edition (USA) (EnFrDeEsIt)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Bully - Scholarship Edition (USA) (EnFrDeEsIt)
Burnout.Paradise.The.Ultimate.Box	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Burnout.Paradise.The.Ultimate.Box
Call of Duty - Black Ops II (World)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call of Duty - Black Ops II (World)
Call of Duty - Black Ops III (USA Europe) (EnFrDeEsItPtPlRu)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call of Duty - Black Ops III (USA Europe) (EnFrDeEsItPtPlRu)
Call of Duty - Classic (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Call of Duty - Classic (XBLA)
Call of Duty - Modern Warfare 3 (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call of Duty - Modern Warfare 3 (USA Europe)
Call of Duty - World at War (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call of Duty - World at War (USA Europe)
Call of Duty 2 (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call of Duty 2 (USA Europe)
Call of Duty 3 (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call of Duty 3 (USA Europe)
Call Of Duty 4 Modern Warfare	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call Of Duty 4 Modern Warfare
Call Of Duty Advanced Warfare (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Call Of Duty Advanced Warfare (2-DVD)
Call Of Duty Black Ops	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call Of Duty Black Ops
Call Of Duty Black Ops 2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call Of Duty Black Ops 2
Call Of Duty Ghosts (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Call Of Duty Ghosts (2-DVD)
Call Of Duty Modern Warfare 3	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call Of Duty Modern Warfare 3
Call.Of.Duty.Black.Ops.III	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call.Of.Duty.Black.Ops.III
Call.Of.Juarez.Bound.In.Blood	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call.Of.Juarez.Bound.In.Blood
Call.of.Juarez.The.Cartel	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call.of.Juarez.The.Cartel
Call_Of_Duty_World_At_War	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Call_Of_Duty_World_At_War
Capcom.Digital.Collection	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Capcom.Digital.Collection
Capitan.America.Super.Solder	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Capitan.America.Super.Solder
Carrier.Command.Gaea.Mission	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Carrier.Command.Gaea.Mission
Cars.2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Cars.2
Cars.3.Driven.to.Win	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Cars.3.Driven.to.Win
Cartoon.Network.Punch.Time.Explosion	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Cartoon.Network.Punch.Time.Explosion
Castle of Illusion Starring Mickey Mouse (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Castle of Illusion Starring Mickey Mouse (XBLA)
Castlevania - Lords of Shadow 2 (USA) (EnFrDeEsItPt)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Castlevania - Lords of Shadow 2 (USA) (EnFrDeEsItPt)
Castlevania Lords Of Shadow (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Castlevania Lords Of Shadow (2-DVD)
Child of Light (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Child of Light (XBLA)
Child.of.Eden	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Child.of.Eden
Chronicles of Narnia The - Prince Caspian (Europe) (EnFrEs)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Chronicles of Narnia The - Prince Caspian (Europe) (EnFrEs)
Chronicles.of.Riddick.Assault.on.Dark.Athena	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Chronicles.of.Riddick.Assault.on.Dark.Athena
Clash.Of.The.Titans	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Clash.Of.The.Titans
Cloudy.With.A.Chance.Of.Meatballs	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Cloudy.With.A.Chance.Of.Meatballs
Cobalt (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Cobalt (XBLA)
Comix Zone (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Comix Zone (XBLA)
Command.and.Conquer.3.Kanes.Wrath	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Command.and.Conquer.3.Kanes.Wrath
Compilation Disc - DJ Hero and Band Hero and Guitar Hero 5 and Guitar Hero - Greatest Hits (Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Compilation Disc - DJ Hero and Band Hero and Guitar Hero 5 and Guitar Hero - Greatest Hits (Europe)
Complex Dark	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Complex Dark
Condemned.2.Bloodshot	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Condemned.2.Bloodshot
Constant C (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Constant C (XBLA)
Contra (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Contra (XBLA)
Contrast (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Contrast (XBLA)
Crash - Mind over Mutant (USA) (EnFrDeEsItNlSvNoDaFi)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Crash - Mind over Mutant (USA) (EnFrDeEsItNlSvNoDaFi)
Crash of the Titans	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Crash of the Titans
Crash.Time.4.The.Syndicate	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Crash.Time.4.The.Syndicate
Crazy Machines Elements (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Crazy Machines Elements (XBLA)
Crazy Taxi (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Crazy Taxi (XBLA)
Crew (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Crew (2-DVD)
Crysis 2 (World) (EnFr)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Crysis 2 (World) (EnFr)
Crysis 3 (USA Europe) (EnFr)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Crysis 3 (USA Europe) (EnFr)
Damnation	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Damnation
